M,N,K,wave_tflops,triton_tflops,torch_tflops
10240,11264,8192,741.0924,588.893,526.5106
10240,12288,8192,733.6599,561.7966,387.8906
10240,13312,8192,737.0901,586.3407,572.5271
10240,14336,8192,749.2778,564.6564,607.8856
10240,15360,8192,751.3062,583.9068,499.4748
10240,16384,8192,748.9861,551.6614,611.2746
13824,512,5120,411.8044,314.9381,453.4371
13824,1024,5120,488.0645,505.4929,568.723
13824,2048,5120,622.1251,504.7948,563.7013
13824,3072,5120,636.699,469.7508,441.7373
13824,4096,5120,697.7384,576.5909,551.4014
13824,5120,5120,664.9319,536.2065,569.0589
13824,6144,5120,649.0529,558.624,558.8627
13824,7168,5120,685.5987,586.7817,612.0363
13824,8192,5120,662.6521,575.3589,628.5569
13824,9216,5120,652.2982,576.2499,561.863
13824,10240,5120,632.9919,579.6708,519.9022
13824,11264,5120,615.6396,577.3888,564.559
13824,12288,5120,601.8899,579.312,574.9286
13824,13312,5120,607.8764,556.688,571.6525
13824,14336,5120,620.6031,584.9075,567.9864
13824,15360,5120,597.3426,581.8752,474.568
13824,16384,5120,553.528,574.7176,572.3821
14336,512,8192,541.7076,326.4202,495.5913
14336,1024,8192,589.5053,473.8657,593.3328
14336,2048,8192,777.1185,498.1208,548.8926
14336,3072,8192,726.641,511.489,500.0222
14336,4096,8192,795.1014,610.2654,656.6416
14336,5120,8192,746.9508,579.0432,646.8384
14336,6144,8192,767.6112,588.8807,554.7155
14336,7168,8192,741.686,574.9066,663.558
14336,8192,8192,740.0559,604.4367,636.368
14336,9216,8192,733.7842,601.9663,511.8688
14336,10240,8192,740.0559,575.0226,623.1967
14336,11264,8192,739.0223,560.4089,489.9004
14336,12288,8192,753.5817,593.6489,498.3781
14336,13312,8192,742.6927,578.4761,561.1455
14336,14336,8192,749.9453,567.1095,641.2187
14336,15360,8192,743.8706,550.722,389.4651
14336,16384,8192,748.6947,566.1456,641.5257
15360,512,5120,460.1751,336.2335,487.272
15360,1024,5120,508.0797,538.2879,573.0883
15360,2048,5120,589.968,526.4625,596.4051
15360,3072,5120,651.1911,501.2509,588.8659
15360,4096,5120,625.4807,512.3314,577.7276
15360,5120,5120,665.5425,593.3108,569.1765
15360,6144,5120,690.2626,578.7745,554.443
15360,7168,5120,629.8486,571.0245,566.6997
15360,8192,5120,689.0322,556.6643,475.8625
15360,9216,5120,661.8956,568.8066,565.0202
15360,10240,5120,644.2451,577.2087,545.1262
15360,11264,5120,610.9221,579.4159,483.8091
15360,12288,5120,619.4664,579.6246,577.2348
15360,13312,5120,608.6618,571.0478,579.7394
15360,14336,5120,609.421,574.8494,580.3239
15360,15360,5120,596.5232,583.8922,576.4104
15360,16384,5120,579.0967,578.1408,577.3755
27648,512,5120,428.8614,421.2744,497.0075
27648,1024,5120,583.3205,440.2118,535.8584
27648,2048,5120,610.3375,565.6503,556.6917
27648,3072,5120,690.2626,543.3759,578.6442
27648,4096,5120,686.1782,573.8542,559.487
27648,5120,5120,703.6658,574.6702,486.7482
27648,6144,5120,646.6401,580.939,580.6717
27648,7168,5120,667.5566,578.2532,629.4831
27648,8192,5120,651.4838,576.7966,573.6412
27648,9216,5120,639.508,587.564,581.7466
27648,10240,5120,627.5115,574.9225,567.7554
27648,11264,5120,626.5252,578.0117,576.2157
27648,12288,5120,620.129,577.5817,576.4283
27648,13312,5120,611.8237,573.8553,575.382
27648,14336,5120,618.711,584.0064,581.5384
27648,15360,5120,615.9567,581.9774,576.7843
27648,16384,5120,590.9,582.7459,575.3723
28672,512,8192,552.9153,447.2416,506.4359
28672,1024,8192,726.641,474.8284,579.7427
28672,2048,8192,775.8651,606.0381,583.5823
28672,3072,8192,780.0589,566.8231,581.9287
28672,4096,8192,779.0062,608.4705,575.0752
28672,5120,8192,761.1334,582.1469,429.8466
28672,6144,8192,765.5751,603.007,571.7159
28672,7168,8192,765.2851,591.1051,660.1016
28672,8192,8192,769.6581,597.296,563.5211
28672,9216,8192,777.258,590.3791,510.0425
28672,10240,8192,788.5842,581.5459,513.847
28672,11264,8192,775.8651,583.8506,488.0172
28672,12288,8192,779.0062,591.6703,496.9235
28672,13312,8192,779.7347,574.7953,526.478
28672,14336,8192,783.0824,583.7639,509.1633
28672,15360,8192,783.4468,569.2158,512.9394
28672,16384,8192,778.2185,565.8539,523.0456
57344,512,8192,693.1359,457.711,510.4884
57344,1024,8192,745.7928,592.067,568.4835
57344,2048,8192,775.8651,608.1313,621.6687
57344,3072,8192,771.716,599.6854,569.034
57344,4096,8192,772.7491,594.6081,574.9265
57344,5120,8192,786.0071,585.2157,568.1902
57344,6144,8192,787.5083,591.8267,563.7255
57344,7168,8192,790.4353,588.4868,580.1471
57344,8192,8192,789.393,590.065,678.5988
57344,9216,8192,787.1504,597.461,536.2854
57344,10240,8192,801.7272,582.9238,539.9234
57344,11264,8192,795.6992,593.0267,524.9833
57344,12288,8192,801.7272,590.0656,519.8769
57344,13312,8192,796.6207,584.1462,503.7703
57344,14336,8192,796.9833,582.116,513.3214
57344,15360,8192,801.7272,575.853,529.2568
57344,16384,8192,793.462,564.3136,534.2882
